Class,Sample1,Sample2,Sample3,Sample4,Sample5,Mean,TightMean
0,0.00,0.00,0.00,0.00,0.00,0,0
0,0.00,0.00,0.00,0.00,0.00,0,0
0,0.00,0.00,0.00,0.00,0.00,0,0
0,0.00,0.00,0.00,0.00,0.00,0,0
0,0.00,0.00,0.00,0.00,0.00,0,0
0,0.00,0.00,0.00,0.00,0.00,0,0
0,0.00,0.00,0.00,0.00,0.00,0,0
0,0.00,0.00,0.00,0.00,0.00,0,0
0,0.00,0.00,0.00,0.00,0.00,0,0
0,0.00,0.00,0.00,0.00,0.00,0,0
0,0.00,0.00,0.00,0.00,0.00,0,0
0,0.00,0.00,0.00,0.00,0.00,0,0
0,0.00,0.00,0.00,0.00,0.00,0,0
0,0.00,0.00,0.00,0.00,0.00,0,0
0,0.00,0.00,0.00,0.00,0.00,0,0
0,0.00,0.00,0.00,0.00,0.00,0,0
1,0.00,0.00,0.00,0.00,0.00,0,0
1,0.00,0.00,0.00,0.00,0.00,0,0
1,22.00,12.00,19.00,0.00,36.00,17.80,17.67
1,22.00,41.00,16.00,0.00,44.00,24.60,26.33
1,53.00,57.00,56.00,0.00,23.00,37.80,44.00
1,68.00,69.00,0.00,41.00,44.00,44.40,51.00
1,108.00,39.00,100.00,150.00,111.00,101.60,106.33
1,45.00,109.00,66.00,113.00,84.00,83.40,86.33
1,3.00,50.00,147.00,127.00,99.00,85.20,92.00
1,125.00,138.00,221.00,51.00,85.00,124.00,116.00
1,100.00,135.00,128.00,132.00,110.00,121.00,123.33
1,26.00,61.00,100.00,105.00,116.00,81.60,88.67
1,91.00,237.00,158.00,142.00,145.00,154.60,148.33
1,114.00,64.00,123.00,16.00,121.00,87.60,99.67
1,46.00,169.00,117.00,100.00,120.00,110.40,112.33
1,129.00,0.00,2.00,32.00,55.00,43.60,29.67
1,148.00,96.00,72.00,75.00,86.00,95.40,85.67
1,142.00,168.00,138.00,122.00,115.00,137.00,134.00
1,139.00,148.00,154.00,168.00,180.00,157.80,156.67
1,130.00,130.00,91.00,71.00,109.00,106.20,110.00
1,124.00,149.00,153.00,156.00,143.00,145.00,148.33
1,152.00,192.00,60.00,112.00,246.00,152.40,152.00
1,220.00,150.00,173.00,167.00,143.00,170.60,163.33
